name,href,author,score,record,introduction,tag
月亮与六便士,https://read.douban.com//ebook/34157247/,〔英〕毛姆,9.4,3819,"银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一种自我绑架，唯有失去是通向自由之途。在异国他乡，他贫病交加，对梦…
（更多）","['外国文学', '毛姆', '世界名著']"
,,,,,,
三体全集,https://read.douban.com//ebook/958945/,徐淳刚,9.6,7098,"第73届雨果奖最佳长篇故事获奖作品。三体全集 (《三体》《三体Ⅱ·黑暗森林》《三体Ⅲ·死神永生》) ，原名“地球往事三部曲”，是中国著名科幻作家刘慈欣的首个长篇系列，由科幻世界杂志社策…
（更多）","['小说', '科幻', '刘慈欣', '限时特价', '三体', '贺岁书']"
,,,,,,
追风筝的人,https://read.douban.com//ebook/1162265/,刘慈欣,9.6,4358,"2013年，小说《追风筝的人》出版整整十年。书中那句“为你，千千万万遍”感动了无数中国读者。8月，胡赛尼暌违六年的新作《群山回唱》中文版即将问世。 ★一个阿富汗作家的处女作 ★一部以…
（更多）","['小说', '文学', '阿富汗', '美国', '限时特价', '李继宏', '卡勒德·胡赛尼', '贺岁书']"
,,,,,,
活着,https://read.douban.com//ebook/30541512/,〔美〕卡勒德·胡赛尼 ,9.6,7060,"《活着》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵前去求药，却在途中被国民党抓去…
（更多）","['小说', '当代文学', '人生', '中国文学', '活着', '余华', '余华作品（2012版）']"
,,,,,,
杀死一只知更鸟,https://read.douban.com//ebook/30712317/,李继宏,9.6,1631,"《杀死一只知更鸟》是公认的美国文学经典，而它在教育领域的意义却使其突破了国界，成为世界上最有名的成长小说之一。《杀死一只知更鸟》在西方世界的影响力巨大，是美国中小学的必读书目，图…
（更多）","['小说', '美国', '外国文学', '哈珀·李', '杀死一只知更鸟']"
,,,,,,
